code,description
KBP1008,Total Deposits
KBP1123,Specific Provisions — Loans (NPL proxy)
KBP1132,Total Banking Sector Assets
KBP1166,Total Loans and Advances
KBP1347,Total Private Sector Credit Extension (PSCE)
KBP1486,Prime Lending Rate
