Date,Variable,Value
01/03/2021,KBP1166M,3541708
01/03/2021,KBP1347M,3973480
01/03/2021,KBP1486M,7
01/04/2021,KBP1008M,323444
01/04/2021,KBP1123M,171596
01/04/2021,KBP1132M,6425870
01/04/2021,KBP1166M,3545140
01/04/2021,KBP1347M,3971925
01/04/2021,KBP1486M,7
01/05/2021,KBP1008M,318606
01/05/2021,KBP1123M,171351
01/05/2021,KBP1132M,6487379
01/05/2021,KBP1166M,3557139
01/05/2021,KBP1347M,3995930
01/05/2021,KBP1486M,7
01/06/2021,KBP1008M,349962
01/06/2021,KBP1123M,170880
01/06/2021,KBP1132M,6483428
01/06/2021,KBP1166M,3557926
01/06/2021,KBP1347M,3977788
01/06/2021,KBP1486M,7
01/07/2021,KBP1008M,339319
01/07/2021,KBP1123M,169884
01/07/2021,KBP1132M,6518368
01/07/2021,KBP1166M,3593272
01/07/2021,KBP1347M,4009305
01/07/2021,KBP1486M,7
01/08/2021,KBP1008M,350144
01/08/2021,KBP1123M,170713
01/08/2021,KBP1132M,6585838
01/08/2021,KBP1166M,3613079
01/08/2021,KBP1347M,4036404
01/08/2021,KBP1486M,7
01/09/2021,KBP1008M,354171
01/09/2021,KBP1123M,169845
01/09/2021,KBP1132M,6605679
01/09/2021,KBP1166M,3611504
01/09/2021,KBP1347M,4019867
01/09/2021,KBP1486M,7
01/10/2021,KBP1008M,341296
01/10/2021,KBP1123M,168591
01/10/2021,KBP1132M,6593024
01/10/2021,KBP1166M,3632939
01/10/2021,KBP1347M,4028911
01/10/2021,KBP1486M,7
01/11/2021,KBP1008M,346919
01/11/2021,KBP1123M,166323
01/11/2021,KBP1132M,6778981
01/11/2021,KBP1166M,3685473
01/11/2021,KBP1347M,4086112
01/11/2021,KBP1486M,7.25
01/12/2021,KBP1008M,340503
01/12/2021,KBP1123M,165424
01/12/2021,KBP1132M,6714251
01/12/2021,KBP1166M,3701606
01/12/2021,KBP1347M,4102331
01/12/2021,KBP1486M,7.25
01/01/2022,KBP1008M,362525
01/01/2022,KBP1123M,166138
01/01/2022,KBP1132M,6622697
01/01/2022,KBP1166M,3723120
01/01/2022,KBP1347M,4117674
01/01/2022,KBP1486M,7.5
01/02/2022,KBP1008M,343136
01/02/2022,KBP1123M,166517
01/02/2022,KBP1132M,6700810
01/02/2022,KBP1166M,3746481
01/02/2022,KBP1347M,4154595
01/02/2022,KBP1486M,7.5
01/03/2022,KBP1008M,339264
01/03/2022,KBP1123M,167510
01/03/2022,KBP1132M,6821604
